#0 1 2 3 4 5
1 2 2 5 5 4 2  
2 2 4 4 5 4 3  
3 6 4 6 7 4 7  
4 6 10 4 4 5 4  
5 12 7 5 5 5 4  
6 21 10 12 9 9 7  
